VIOLATOR_TYPE_CD,MINE_TYPE,COAL_METAL_IND,SIG_SUB,LIKELIHOOD,INJ_ILLNESS,NO_AFFECTED,NEGLIGENCE,SPECIAL_ASSESS,PRIMARY_OR_MILL,ASMT_GENERATED_IND,CONTESTED_IND,VIOLATOR_VIOLATION_CNT,VIOLATOR_INSPECTION_DAY_CNT,ACTIVITY,ACTIVE_SECTIONS,IDLE_SECTIONS,SHAFT_SLOPE_SINK,IMPOUND_CONSTR,BLDG_CONSTR_SITES,DRAGLINES,UNCLASSIFIED_CONSTR,CO_RECORDS,SURF_UG_MINE,SURF_FACILITY_MINE,REFUSE_PILES,EXPLOSIVE_STORAGE,OUTBY_AREAS,MAJOR_CONSTR,SHAFTS_SLOPES,IMPOUNDMENTS,MISC_AREA,PROGRAM_AREA,SAMPLE_CNT_AIR,SAMPLE_CNT_DUSTSPOT,SAMPLE_CNT_DUSTSURVEY,SAMPLE_CNT_RESPDUST,SAMPLE_CNT_NOISE,SAMPLE_CNT_OTHER,NBR_INSPECTORS,TOTAL_ON_SITE_HOURS,TOTAL_INSP_HOURS,COAL_METAL_IND,TOTAL_ON_SITE_HRS_SPVR_TRAINEE,TOTAL_INSP_HRS_SPVR_TRAINEE,PRIMARY_SIC,PRIMARY_CANVASS,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,AVG_MINE_HEIGHT,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,8,4,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,3,13,4,M,1,0,"Construction Sand and Gravel",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,9,3,"COMPLIANCE FOLLOW-UP INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--COMPLIANCE FOLLOW-UP INSPECTION",0,0,0,0,0,0,2,10,2,M,0,0,"Sand, Common",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,51,37,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Contractor,Facility,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,22,14,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,16,6,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,Y,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,3,44,32,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,2,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,46,26,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,1,LowNegligence,N,Primary,N,N,3,5,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,27,10,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,15,5,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,8,3,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,5,8,1,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,12,6,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,17,14,M,0,0,"Crushed, Broken Stone NEC",Stone,Y,04,5,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"ATTEMPTED INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--ATTEMPTED INSPECTION",0,0,0,0,0,0,2,11,4,M,0,0,"Crushed, Broken Stone NEC",Stone,N,,5,0,0,0,1,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,1,ModNegligence,N,Primary,N,N,0,0,"ATTEMPTED INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--ATTEMPTED INSPECTION",0,0,0,0,0,0,1,8,2,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,5,2,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,10,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,25,16,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Highly,Fatal,2,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,3,1,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,9,1,0,0,Y,0,N,N,N
Contractor,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,10,5,M,0,0,Bentonite,Nonmetal,Y,04,2,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,1,0,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,1,8,5,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,NoLostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,7,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,,,,0,,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,43,12,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,5,8,1,0,5,Y,0,N,N,N
Operator,Surface,M,,,,0,,N,Primary,N,N,0,0,"ACCIDENT INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--ACCIDENT INVESTIGATION",0,0,0,0,0,0,1,23,10,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,1,8,5,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Highly,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,10,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,1,8,5,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,7,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,24,20,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,5,8,1,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,16,10,M,0,0,"Crushed, Broken Granite",Stone,N,,5,8,1,0,3,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,28,21,M,0,0,"Ground Silica",Nonmetal,Y,04,5,10,1,0,3,N,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,14,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,21,15,M,0,0,"Crushed, Broken Granite",Stone,N,,5,8,1,0,3,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,47,29,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,HighNegligence,N,Primary,N,N,0,0,"ATTEMPTED INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--ATTEMPTED INSPECTION",0,0,0,0,0,0,1,10,7,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,5,8,1,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,18,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,10,5,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,17,10,M,0,0,"Dimension Stone NEC",Stone,Y,04,4,10,1,0,3,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,2,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,16,6,M,0,0,"Crushed, Broken Stone NEC",Stone,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,13,7,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,1,5,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,17,10,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,29,21,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,6,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,Y,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,10,7,M,0,0,"Crushed, Broken Stone NEC",Stone,N,,5,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,27,22,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,5,8,1,0,3,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,13,9,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,04,5,8,1,0,0,Y,0,N,N,N
